DayofMonth,DayOfWeek,Carrier,Origin,Origin City,Dest,Dest City,Departure Delay (mins),Arrival Delay (min),Schd Elapsed Time,Actual Elapsed Time
25,2,SkyWest,PHX,"Phoenix, AZ",LAX,"Los Angeles, CA",-2,-9,90,83
17,1,SkyWest,ASE,"Aspen, CO",DEN,"Denver, CO",-6,15,53,74
11,2,SkyWest,MSP,"Minneapolis, MN",ICT,"Wichita, KS",-3,-18,116,101
8,6,SkyWest,MSP,"Minneapolis, MN",DSM,"Des Moines, IA",-5,-8,67,64
28,5,SkyWest,RDD,"Redding, CA",SFO,"San Francisco, CA",-3,-7,70,66
3,1,SkyWest,ORD,"Chicago, IL",CHS,"Charleston, SC",-4,-12,131,123
20,4,SkyWest,HLN,"Helena, MT",SLC,"Salt Lake City, UT",-8,-12,76,72
25,2,SkyWest,LAX,"Los Angeles, CA",SMF,"Sacramento, CA",12,22,93,103
9,7,SkyWest,PHX,"Phoenix, AZ",SBP,"San Luis Obispo, CA",-3,5,97,105
8,6,SkyWest,PSC,"Pasco/Kennewick/Richland, WA",DEN,"Denver, CO",0,1,137,138
26,3,SkyWest,FAT,"Fresno, CA",DEN,"Denver, CO",-6,12,140,158
3,1,American Eagle,ORD,"Chicago, IL",OKC,"Oklahoma City, OK",20,18,119,117
30,7,American Eagle,ORD,"Chicago, IL",EVV,"Evansville, IN",-7,-18,75,64
25,2,American Eagle,ORD,"Chicago, IL",CVG,"Cincinnati, OH",-3,-16,76,63
29,6,SkyWest,IAH,"Houston, TX",SAT,"San Antonio, TX",-17,-14,63,66
18,2,Atlantic SE,MSN,"Madison, WI",ATL,"Atlanta, GA",33,55,129,151
11,2,Atlantic SE,ORD,"Chicago, IL",OMA,"Omaha, NE",-2,-9,93,86
16,7,Atlantic SE,OKC,"Oklahoma City, OK",ORD,"Chicago, IL",-3,-5,131,129
24,1,SkyWest,SFO,"San Francisco, CA",EUG,"Eugene, OR",-5,-27,99,77
9,7,SkyWest,MSP,"Minneapolis, MN",BIS,"Bismarck/Mandan, ND",-2,6,86,94
5,3,SkyWest,DTW,"Detroit, MI",MSN,"Madison, WI",-4,-14,76,66
27,4,SkyWest,LAX,"Los Angeles, CA",SBP,"San Luis Obispo, CA",-8,-5,58,61
26,3,SkyWest,MRY,"Monterey, CA",LAX,"Los Angeles, CA",80,68,78,66
3,1,SkyWest,DEN,"Denver, CO",DSM,"Des Moines, IA",-8,1,107,116
6,4,SkyWest,LAX,"Los Angeles, CA",SAT,"San Antonio, TX",-7,-4,180,183
24,1,SkyWest,MSP,"Minneapolis, MN",ISN,"Williston, ND",-6,-23,114,97
20,4,SkyWest,MSP,"Minneapolis, MN",GFK,"Grand Forks, ND",-2,-4,72,70
9,7,SkyWest,VPS,"Valparaiso, FL",IAH,"Houston, TX",-2,-4,103,101
11,2,SkyWest,LAX,"Los Angeles, CA",SAN,"San Diego, CA",2,-12,52,38
4,2,SkyWest,LAX,"Los Angeles, CA",SAN,"San Diego, CA",45,52,52,59
12,3,SkyWest,EUG,"Eugene, OR",SFO,"San Francisco, CA",-3,11,99,113
7,5,SkyWest,SFO,"San Francisco, CA",BFL,"Bakersfield, CA",4,3,77,76
10,1,SkyWest,TUS,"Tucson, AZ",SLC,"Salt Lake City, UT",-4,-12,109,101
1,6,SkyWest,PHX,"Phoenix, AZ",SEA,"Seattle, WA",-4,-14,180,170
15,6,SkyWest,JAX,"Jacksonville, FL",ORD,"Chicago, IL",0,1,150,151
20,4,SkyWest,SLC,"Salt Lake City, UT",SMF,"Sacramento, CA",70,62,107,99
23,7,SkyWest,MOT,"Minot, ND",MSP,"Minneapolis, MN",0,3,85,88
18,2,SkyWest,JAC,"Jackson, WY",LAX,"Los Angeles, CA",-6,-10,149,145
26,3,SkyWest,CVG,"Cincinnati, OH",BNA,"Nashville, TN",-4,-12,66,58
12,3,SkyWest,SNA,"Santa Ana, CA",SLC,"Salt Lake City, UT",-8,-18,105,95
10,1,SkyWest,DTW,"Detroit, MI",ATW,"Appleton, WI",-8,-7,86,87
28,5,SkyWest,YUM,"Yuma, AZ",PHX,"Phoenix, AZ",-8,-19,54,43
13,4,SkyWest,PHX,"Phoenix, AZ",SBA,"Santa Barbara, CA",-4,-12,96,88
23,7,SkyWest,DEN,"Denver, CO",GCC,"Gillette, WY",-12,-25,80,67
21,5,SkyWest,LGB,"Long Beach, CA",SLC,"Salt Lake City, UT",-6,-2,112,116
5,3,SkyWest,SLC,"Salt Lake City, UT",LGB,"Long Beach, CA",20,14,116,110
16,7,SkyWest,SLC,"Salt Lake City, UT",EKO,"Elko, NV",-3,-7,52,48
7,5,SkyWest,SFO,"San Francisco, CA",SLC,"Salt Lake City, UT",-6,7,107,120
8,6,SkyWest,CVG,"Cincinnati, OH",IAH,"Houston, TX",-4,-16,147,135
16,7,SkyWest,SBA,"Santa Barbara, CA",LAX,"Los Angeles, CA",-10,13,57,80
14,5,SkyWest,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",1,-16,199,182
26,3,SkyWest,LSE,"La Crosse, WI",MSP,"Minneapolis, MN",1,10,55,64
6,4,SkyWest,ORD,"Chicago, IL",ICT,"Wichita, KS",-1,-16,116,101
1,6,SkyWest,DEN,"Denver, CO",LNK,"Lincoln, NE",-10,-15,83,78
12,3,SkyWest,DSM,"Des Moines, IA",DEN,"Denver, CO",22,3,118,99
24,1,SkyWest,DSM,"Des Moines, IA",DEN,"Denver, CO",-2,-3,118,117
16,7,SkyWest,ICT,"Wichita, KS",DEN,"Denver, CO",6,-6,91,79
3,1,SkyWest,SFO,"San Francisco, CA",MSP,"Minneapolis, MN",23,14,238,229
17,1,SkyWest,SMX,"Santa Maria, CA",SFO,"San Francisco, CA",0,-2,66,64
26,3,SkyWest,LBB,"Lubbock, TX",DEN,"Denver, CO",20,26,93,99
5,3,SkyWest,MSP,"Minneapolis, MN",BRD,"Brainerd, MN",-1,-8,52,45
25,2,SkyWest,SFO,"San Francisco, CA",RNO,"Reno, NV",-5,-14,60,51
9,7,SkyWest,SLC,"Salt Lake City, UT",BUR,"Burbank, CA",-2,-6,119,115
6,4,American Eagle,ORD,"Chicago, IL",CVG,"Cincinnati, OH",9,19,72,82
26,3,American Eagle,DFW,"Dallas/Fort Worth, TX",LCH,"Lake Charles, LA",3,-2,72,67
21,5,SkyWest,EUG,"Eugene, OR",SLC,"Salt Lake City, UT",-10,-14,107,103
28,5,SkyWest,DEN,"Denver, CO",MOT,"Minot, ND",-5,-13,118,110
22,6,SkyWest,SFO,"San Francisco, CA",PDX,"Portland, OR",-1,5,118,124
25,2,SkyWest,LAX,"Los Angeles, CA",SLC,"Salt Lake City, UT",2,-2,110,106
23,7,SkyWest,ORD,"Chicago, IL",CVG,"Cincinnati, OH",1,-5,77,71
