SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT_OPEN_HOUSE_START_TIME,NEXT_OPEN_HOUSE_END_TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,999 Green St #1901,San Francisco,CA,94133,2300000,2,2,Russian Hill,1300,,1964,4,1769,1709,Active,,,http://www.redfin.com/CA/San-Francisco/999-Green-St-94133/unit-1901/home/1498021,San Francisco MLS,457583,N,Y,37.798447,-122.415218
New Construction Plan,,Condo/Co-op,Residence 6,San Francisco,CA,94105,2325000,2,2,LUMINA,1495,,,,1555,,Active,,,http://www.redfin.com/CA/San-Francisco/LUMINA/Residence-6/home/105519562,NewHomeFeed,Plan-278431,N,Y,37.7886997,-122.39226
MLS Listing,,Condo/Co-op,201 Folsom St Unit 30C,San Francisco,CA,94105,2325000,2,2,South Beach,1495,,2017,13,1555,1119,Active,May-22-2017 11:00 AM,May-22-2017 05:00 PM,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-30C/home/113892443,San Francisco MLS,457869,N,Y,37.7886997,-122.39226
MLS Listing,,Condo/Co-op,401 Harrison St Unit 28C,San Francisco,CA,94105,2332000,2,2,South Beach,1334,,2014,97,1748,1259,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-28C/home/113105185,San Francisco MLS,454336,N,Y,37.7865463,-122.3920492
MLS Listing,,Condo/Co-op,425 1st St #2702,San Francisco,CA,94105,2375000,2,2,South Beach,1309,,2008,31,1814,911,Active,,,http://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-2702/home/17305655,San Francisco MLS,457177,N,Y,37.7861411,-122.392459
MLS Listing,,Single Family Residential,155 San Pablo Ave,San Francisco,CA,94127,2375000,3,3,St. Francis Wood,2525,4508,1939,4,941,156,Active,May-23-2017 01:00 PM,May-23-2017 02:30 PM,http://www.redfin.com/CA/San-Francisco/155-San-Pablo-Ave-94127/home/1734115,San Francisco MLS,458180,N,Y,37.737208,-122.4619523
MLS Listing,,Condo/Co-op,1160 Mission St #2213,San Francisco,CA,94103,2395000,3,2,South of Market,1630,,2008,10,1469,1048,Active,,,http://www.redfin.com/CA/San-Francisco/1160-Mission-St-94103/unit-2213/home/17305215,San Francisco MLS,457265,N,Y,37.7783901,-122.412238
MLS Listing,,Condo/Co-op,690 Market St #1604,San Francisco,CA,94104,2395000,3,3,Financial District,1913,,2007,19,1252,3010,Active,,,http://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-1604/home/21967105,San Francisco MLS,457308,N,Y,37.7883046,-122.4032778
MLS Listing,,Single Family Residential,60 Miraloma Dr,San Francisco,CA,94127,2395000,3,2,Monterey Heights,3115,7775,1931,17,769,,Active,,,http://www.redfin.com/CA/San-Francisco/60-Miraloma-Dr-94127/home/934960,San Francisco MLS,457747,N,Y,37.739353,-122.46106
MLS Listing,,Condo/Co-op,1688 Pine St Unit EPH01,San Francisco,CA,94109,2423000,2,2,Van Ness/Civic Center,1425,,2016,19,1700,950,Active,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-EPH01/home/109238849,San Francisco MLS,457649,N,Y,37.7892328,-122.4235521
New Construction Plan,,Condo/Co-op,EPH01,San Francisco,CA,94109,2423000,2,2.5,Rockwell,1425,,,,1700,,Active,,,http://www.redfin.com/CA/San-Francisco/Rockwell/EPH01/home/113862189,NewHomeFeed,Plan-359387,N,Y,37.78945866,-122.4235623
MLS Listing,,Condo/Co-op,1 Hawthorne St Ph 24A,San Francisco,CA,94105,2445000,2,2,Yerba Buena,1581,,2010,104,1546,803,Active,May-24-2017 12:00 PM,May-24-2017 01:30 PM,http://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-24A/home/44508165,San Francisco MLS,454361,N,Y,37.78577,-122.3988537
MLS Listing,,Single Family Residential,2621 Lombard St,San Francisco,CA,94123,2450000,3,1.5,Cow Hollow,2222,1846,1931,26,1103,,Active,May-27-2017 10:00 AM,May-27-2017 12:00 PM,http://www.redfin.com/CA/San-Francisco/2621-Lombard-St-94123/home/582412,San Francisco MLS,457335,N,Y,37.7985699,-122.4446982
MLS Listing,,Single Family Residential,490 Castenada Ave,San Francisco,CA,94116,2450000,4,3,Forest Hill,2645,5749,1949,4,926,50,Active,,,http://www.redfin.com/CA/San-Francisco/490-Castenada-Ave-94116/home/1446323,San Francisco MLS,457675,N,Y,37.745803,-122.467108
MLS Listing,,Condo/Co-op,1736 Bryant St,San Francisco,CA,94110,2450000,4,3,Inner Mission,2700,,1904,87,907,,Active,,,http://www.redfin.com/CA/San-Francisco/1736-Bryant-St-94110/home/40482445,San Francisco MLS,455009,N,Y,37.764828,-122.410726
MLS Listing,,Condo/Co-op,1150 Lombard St #27,San Francisco,CA,94109,2475000,2,2,Russian Hill,2001,,1989,112,1237,2072,Active,May-23-2017 09:30 AM,May-23-2017 10:30 AM,http://www.redfin.com/CA/San-Francisco/1150-Lombard-St-94109/unit-27/home/1144343,San Francisco MLS,454022,N,Y,37.8021794,-122.4205944
